['2016-06-01 09:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '68', u'N', '10']
['2016-06-01 08:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '20', '66', u'NNE', '8']
['2016-06-01 07:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '70', u'ENE', '10']
['2016-06-01 06:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '74', u'NNE', '10']
['2016-06-01 05:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '73', u'NNE', '6']
['2016-06-01 04:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '75', u'NNE', '6']
['2016-06-01 03:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '18', '74', u'NE', '6']
['2016-06-01 02:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '18', '75', u'NE', '8']
['2016-06-01 01:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '18', '83', u'NE', '5']
['2016-06-01 00:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '18', '83', u'NE', '5']
['2016-05-31 23:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '18', '83', u'NE', '5']
['2016-05-31 22:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '20', '78', u'ENE', '8']
['2016-05-31 21:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '74', u'ENE', '14']
['2016-05-31 20:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '22', '73', u'ENE', '10']
['2016-05-31 19:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '23', '71', u'ENE', '11']
['2016-05-31 18:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '24', '69', u'E', '16']
['2016-05-31 17:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '70', u'NE', '8']
['2016-05-31 16:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '22', '76', u'N', '16']
['2016-05-31 15:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '19', '85', u'NNW', '8']
['2016-05-31 14:05:00', 0, 'images/weathericons/icon11.png', u'Rain Shower', '18', '87', u'E', '8']
['2016-05-31 13:05:00', 0, 'images/weathericons/icon12.png', u'Rain', '19', '79', u'E', '11']
['2016-05-31 12:05:00', 0, 'images/weathericons/icon28.png', u'Showers in the Vicinity', '21', '71', u'E', '14']
['2016-05-31 11:05:00', 0, 'images/weathericons/icon28.png', u'Showers in the Vicinity', '21', '67', u'E', '13']
['2016-05-31 10:05:00', 0, 'images/weathericons/icon28.png', u'Showers in the Vicinity', '21', '68', u'E', '13']
['2016-05-31 09:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '20', '70', u'E', '19']
['2016-05-31 08:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '70', u'E', '16']
['2016-05-31 07:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '74', u'ENE', '13']
['2016-05-31 06:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '18', '76', u'E', '16']
['2016-05-31 05:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '76', u'ENE', '19']
['2016-05-31 04:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '72', u'ENE', '16']
['2016-05-31 03:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '18', '69', u'ENE', '14']
['2016-05-31 02:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '19', '64', u'E', '14']
['2016-05-31 01:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '19', '63', u'ENE', '16']
['2016-05-31 00:05:00', 0, 'images/weathericons/icon33.png', u'Fair', '20', '67', u'ENE', '19']
['2016-05-30 23:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '20', '67', u'E', '14']
['2016-05-30 22:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '21', '67', u'ENE', '18']
['2016-05-30 21:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '66', u'E', '26']
['2016-05-30 20:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '61', u'E', '23']
['2016-05-30 19:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '61', u'E', '27']
['2016-05-30 18:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '57', u'E', '27']
['2016-05-30 17:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '58', u'E', '27']
['2016-05-30 16:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '25', '56', u'E', '31']
['2016-05-30 15:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '26', '54', u'E', '27']
['2016-05-30 14:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '59', u'E', '29']
['2016-05-30 13:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '60', u'E', '27']
['2016-05-30 12:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '24', '61', u'E', '29']
['2016-05-30 11:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '70', u'E', '24']
['2016-05-30 10:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '76', u'E', '23']
['2016-05-30 09:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '83', u'ENE', '21']
['2016-05-30 08:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '88', u'ENE', '19']
['2016-05-30 07:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '16', '91', u'ENE', '18']
['2016-05-30 06:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '16', '92', u'NE', '23']
['2016-05-30 05:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '16', '93', u'ENE', '24']
['2016-05-30 04:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '16', '86', u'E', '23']
['2016-05-30 03:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '17', '82', u'ENE', '24']
['2016-05-30 02:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '17', '85', u'ENE', '26']
['2016-05-30 01:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '18', '81', u'E', '19']
['2016-05-30 00:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '18', '78', u'ENE', '26']
['2016-05-29 23:05:00', 0, 'images/weathericons/icon27.png', u'Showers in the Vicinity', '18', '77', u'ENE', '18']
['2016-05-29 22:05:00', 0, 'images/weathericons/icon27.png', u'Mostly Cloudy', '18', '74', u'ENE', '18']
['2016-05-29 21:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '19', '70', u'E', '13']
['2016-05-29 20:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '21', '65', u'E', '16']
['2016-05-29 19:05:00', 0, 'images/weathericons/icon11.png', u'Light Rain', '23', '55', u'E', '18']
['2016-05-29 18:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '24', '54', u'E', '14']
['2016-05-29 17:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '25', '51', u'E', '11']
['2016-05-29 16:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '25', '51', u'E', '11']
['2016-05-29 15:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '25', '52', u'E', '10']
['2016-05-29 14:05:00', 0, 'images/weathericons/icon28.png', u'Mostly Cloudy', '25', '53', u'ENE', '11']
['2016-05-29 13:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '22', '59', u'NNE', '11']
['2016-05-29 12:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '23', '60', u'NE', '8']
['2016-05-29 11:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '20', '66', u'NNE', '11']
['2016-05-29 10:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '19', '70', u'NE', '8']
['2016-05-29 09:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '18', '73', u'ENE', '8']
['2016-05-29 08:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '16', '79', u'ENE', '10']
['2016-05-29 07:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '15', '81', u'ENE', '6']
['2016-05-29 06:05:00', 0, 'images/weathericons/icon34.png', u'Fair', '14', '86', u'NNE', '8']
['2016-05-29 05:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '13', '91', u'N', '5']
['2016-05-29 04:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '13', '88', u'ENE', '5']
['2016-05-29 03:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '14', '87', u'NE', '3']
['2016-05-29 02:05:00', 0, 'images/weathericons/icon33.png', u'Fair', '14', '84', u'NE', '3']
['2016-05-29 01:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '15', '83', u'E', '6']
['2016-05-29 00:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '16', '80', u'E', '11']
['2016-05-28 23:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '16', '77', u'E', '10']
['2016-05-28 22:05:00', 0, 'images/weathericons/icon27.png', u'Mostly Cloudy', '17', '75', u'ENE', '6']
['2016-05-28 21:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '17', '70', u'ENE', '3']
['2016-05-28 20:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '18', '61', u'E', '8']
['2016-05-28 19:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '20', '55', u'E', '14']
['2016-05-28 18:05:00', 0, 'images/weathericons/icon26.png', u'Cloudy', '22', '50', u'ESE', '14']
['2016-05-28 17:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '22', '45', u'ESE', '8']
['2016-05-28 16:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '21', '48', u'ENE', '14']
['2016-05-28 15:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '22', '46', u'ENE', '18']
['2016-05-28 14:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '21', '49', u'ENE', '13']
['2016-05-28 13:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '20', '52', u'ENE', '8']
['2016-05-28 12:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '51', u'ESE', '8']
['2016-05-28 11:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '19', '50', u'ESE', '11']
['2016-05-28 10:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '18', '54', u'ESE', '13']
['2016-05-28 09:05:00', 0, 'images/weathericons/icon32.png', u'Sunny', '17', '64', u'ESE', '10']
['2016-05-28 08:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '14', '77', u'ESE', '8']
['2016-05-28 07:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '13', '87', u'ESE', '6']
['2016-05-28 06:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '11', '92', u'ESE', '5']
['2016-05-28 05:05:00', 0, 'images/weathericons/icon30.png', u'Partly Cloudy', '10', '94', u'S', '0']
['2016-05-28 04:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '10', '95', u'SSE', '0']
['2016-05-28 03:05:00', 0, 'images/weathericons/icon33.png', u'Fair', '11', '92', u'WSW', '5']
['2016-05-28 02:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '11', '90', u'S', '3']
['2016-05-28 01:05:00', 0, 'images/weathericons/icon29.png', u'Partly Cloudy', '12', '86', u'NNW', '5']
['2016-05-28 00:05:00', 0, 'images/weathericons/icon31.png', u'Clear', '13', '81', u'NNW', '8']
